id	predicate	value
VT:0006230	rdfs:label	iris stroma cell quantity
VT:0002327	rdfs:label	respiratory function trait
VT:0002911	rdfs:label	inhibitory postsynaptic potential
VT:0001964	rdfs:label	auditory threshold
VT:0010060	rdfs:label	muscle fatty acid cis-9-C16:1 amount
VT:0010543	rdfs:label	catecholamine amount
VT:0010696	rdfs:label	preovulatory follicle quantity
VT:0003148	rdfs:label	cochlear coil quantity
VT:1000720	rdfs:label	nonfunctional nipple quantity
VT:0003424	rdfs:label	neuronal precursor differentiation trait
VT:0010053	rdfs:label	muscle fatty acid C18:0 amount
