defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0006296	arachnodactyly	http://purl.obolibrary.org/obo/UBERON_0002544	digit	MP_0006296
http://purl.obolibrary.org/obo/MP_0001257	increased body length	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism	MP_0001257
http://purl.obolibrary.org/obo/MP_0001281	increased vibrissae length	http://purl.obolibrary.org/obo/UBERON_0011933	vibrissa unit	MP_0001281
http://purl.obolibrary.org/obo/MP_0004348	long femur	http://purl.obolibrary.org/obo/UBERON_0000981	femur	MP_0004348
http://purl.obolibrary.org/obo/MP_0002881	long hair	http://purl.obolibrary.org/obo/UBERON_0001037	strand of hair	MP_0002881
http://purl.obolibrary.org/obo/MP_0000548	long limbs	http://purl.obolibrary.org/obo/UBERON_0002101	limb	MP_0000548
http://purl.obolibrary.org/obo/MP_0012401	long nails	http://purl.obolibrary.org/obo/UBERON_0001705	nail	MP_0012401
http://purl.obolibrary.org/obo/MP_0000446	long snout	http://purl.obolibrary.org/obo/UBERON_0006333	snout	MP_0000446
http://purl.obolibrary.org/obo/MP_0002758	long tail	http://purl.obolibrary.org/obo/UBERON_0007812	post-anal tail	MP_0002758
http://purl.obolibrary.org/obo/MP_0004357	long tibia	http://purl.obolibrary.org/obo/UBERON_0000979	tibia	MP_0004357
