defined_class	defined_class_name	disease	disease_name	exact_synonyms	broad_synonyms	narrow_synonyms	related_synonyms	xrefs	orcid
OBA:2100390		MONDO:0000001	disease						https://orcid.org/0000-0001-6757-4744
OBA:2100391		MONDO:0005488	adolescent idiopathic scoliosis						https://orcid.org/0000-0001-6757-4744
OBA:2100392		MONDO:0005150	age-related macular degeneration						https://orcid.org/0000-0001-6757-4744
OBA:2100393		MONDO:0012268	AIDS						https://orcid.org/0000-0001-6757-4744
OBA:2100394		MONDO:0004975	Alzheimer disease						https://orcid.org/0000-0001-6757-4744
OBA:2100395		MONDO:0005011	Crohn disease						https://orcid.org/0000-0001-6757-4744
OBA:2100396		MONDO:0005015	diabetes mellitus						https://orcid.org/0000-0001-6757-4744
OBA:2100397		MONDO:0004335	digestive system disorder						https://orcid.org/0000-0001-6757-4744
OBA:2100398		MONDO:0005109	HIV infectious disease						https://orcid.org/0000-0001-6757-4744
OBA:2100399		MONDO:0007739	Huntington disease						https://orcid.org/0000-0001-6757-4744
OBA:2100400		MONDO:0005233	non-small cell lung carcinoma						https://orcid.org/0000-0001-6757-4744
OBA:2100401		MONDO:0005180	Parkinson disease						https://orcid.org/0000-0001-6757-4744
OBA:2100402		MONDO:0008315	prostate cancer						https://orcid.org/0000-0001-6757-4744
OBA:2100403		MONDO:0008383	rheumatoid arthritis						https://orcid.org/0000-0001-6757-4744
OBA:2100404		MONDO:0018076	tuberculosis						https://orcid.org/0000-0001-6757-4744
OBA:2100405		MONDO:0005417	wet macular degeneration						https://orcid.org/0000-0001-6757-4744
