defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0002544	brachydactyly	http://purl.obolibrary.org/obo/UBERON_0002544	digit	MP_0002544
http://purl.obolibrary.org/obo/MP_0001258	decreased body length	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism	MP_0001258
http://purl.obolibrary.org/obo/MP_0003109	short femur	http://purl.obolibrary.org/obo/UBERON_0000981	femur	MP_0003109
http://purl.obolibrary.org/obo/MP_0000417	short hair	http://purl.obolibrary.org/obo/UBERON_0001037	strand of hair	MP_0000417
http://purl.obolibrary.org/obo/MP_0000547	short limbs	http://purl.obolibrary.org/obo/UBERON_0002101	limb	MP_0000547
http://purl.obolibrary.org/obo/MP_0012399	short nails	http://purl.obolibrary.org/obo/UBERON_0001705	nail	MP_0012399
http://purl.obolibrary.org/obo/MP_0000445	short snout	http://purl.obolibrary.org/obo/UBERON_0006333	snout	MP_0000445
http://purl.obolibrary.org/obo/MP_0000592	short tail	http://purl.obolibrary.org/obo/UBERON_0007812	post-anal tail	MP_0000592
http://purl.obolibrary.org/obo/MP_0002764	short tibia	http://purl.obolibrary.org/obo/UBERON_0000979	tibia	MP_0002764
http://purl.obolibrary.org/obo/MP_0001282	short vibrissae	http://purl.obolibrary.org/obo/UBERON_0011933	vibrissa unit	MP_0001282
