defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0001262	decreased body weight	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism	MP_0001262
http://purl.obolibrary.org/obo/MP_0002175	decreased brain weight	http://purl.obolibrary.org/obo/UBERON_0000955	brain	MP_0002175
http://purl.obolibrary.org/obo/MP_0009429	decreased embryo weight	http://purl.obolibrary.org/obo/UBERON_0000922	embryo	MP_0009429
http://purl.obolibrary.org/obo/MP_0004929	decreased epididymis weight	http://purl.obolibrary.org/obo/UBERON_0001301	epididymis	MP_0004929
http://purl.obolibrary.org/obo/MP_0002834	decreased heart weight	http://purl.obolibrary.org/obo/UBERON_0000948	heart	MP_0002834
http://purl.obolibrary.org/obo/MP_0003918	decreased kidney weight	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	MP_0003918
http://purl.obolibrary.org/obo/MP_0003402	decreased liver weight	http://purl.obolibrary.org/obo/UBERON_0002107	liver	MP_0003402
http://purl.obolibrary.org/obo/MP_0005631	decreased lung weight	http://purl.obolibrary.org/obo/UBERON_0002048	lung	MP_0005631
http://purl.obolibrary.org/obo/MP_0004856	decreased ovary weight	http://purl.obolibrary.org/obo/UBERON_0000992	ovary	MP_0004856
http://purl.obolibrary.org/obo/MP_0009109	decreased pancreas weight	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas	MP_0009109
http://purl.obolibrary.org/obo/MP_0004910	decreased seminal vesicle weight	http://purl.obolibrary.org/obo/UBERON_0000998	seminal vesicle	MP_0004910
http://purl.obolibrary.org/obo/MP_0004953	decreased spleen weight	http://purl.obolibrary.org/obo/UBERON_0002106	spleen	MP_0004953
http://purl.obolibrary.org/obo/MP_0004852	decreased testis weight	http://purl.obolibrary.org/obo/UBERON_0000473	testis	MP_0004852
http://purl.obolibrary.org/obo/MP_0004956	decreased thymus weight	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	MP_0004956
