file	subject_id	object_id	old_object_label	new_object_label
oba-efo.sssom.tsv	EFO:0004568	OBA:2045206	level of serum globulin type protein	amount of serum globulin type protein
oba-efo.sssom.tsv	EFO:0004623	OBA:0000061	circulating fibrinogen levels	circulating fibrinogen amount
oba-efo.sssom.tsv	EFO:0007615	OBA:2045225	blood clotting level	blood clotting amount
oba-efo.sssom.tsv	EFO:0010536	OBA:2045209	level of taurine in blood serum	amount of taurine in blood serum
oba-efo.sssom.tsv	EFO:0009411	OBA:2045300	C-C motif chemokine 13 level	amount of C-C motif chemokine 13
oba-efo.sssom.tsv	EFO:0010790	OBA:2045300	C-C motif chemokine 13 level	amount of C-C motif chemokine 13
oba-efo.sssom.tsv	EFO:0008217	OBA:2045302	macrophage colony-stimulating factor 1 level	amount of macrophage colony-stimulating factor 1
oba-efo.sssom.tsv	EFO:0020546	OBA:2045302	macrophage colony-stimulating factor 1 level	amount of macrophage colony-stimulating factor 1
oba-efo.sssom.tsv	EFO:0006920	OBA:2045303	natriuretic peptides B level	amount of natriuretic peptides B
oba-efo.sssom.tsv	EFO:0020191	OBA:2045303	natriuretic peptides B level	amount of natriuretic peptides B
oba-efo.sssom.tsv	EFO:0010137	OBA:2045308	leukocyte amount in the urinary tract	amount of leukocyte in the urinary tract
oba-efo.sssom.tsv	EFO:0020373	OBA:2045313	fatty acid-binding protein level in heart	amount of fatty acid-binding protein in heart
oba-efo.sssom.tsv	EFO:0010914	OBA:2045314	fatty acid-binding protein level in adipocyte	amount of fatty acid-binding protein in adipocyte
oba-efo.sssom.tsv	EFO:0007807	OBA:2045316	erythrocyte cadmium level	amount of cadmium in erythrocyte
oba-efo.sssom.tsv	EFO:0007657	OBA:2045317	cerebrospinal fluid clusterin level	amount of clusterin in cerebrospinal fluid
oba-efo.sssom.tsv	EFO:0007980	OBA:2045318	cerebral blood flow level	cerebral blood flow rate
oba-efo.sssom.tsv	EFO:0004532	OBA:2045319	serum gamma-glutamyl transferase level	amount of gamma-glutamyl transferase in blood serum
oba-efo.sssom.tsv	EFO:0005653	OBA:2050092	serum metabolite level	amount of metabolite in blood serum
oba-efo.sssom.tsv	EFO:0005760	OBA:2045321	serum carcinoembryonic antigen level	amount of carcinoembryonic antigen in blood serum
oba-efo.sssom.tsv	EFO:0005664	OBA:2050078	blood metabolite level	amount of metabolite in blood
oba-efo.sssom.tsv	EFO:0007578	OBA:2045323	blood copper level	amount of copper in blood
oba-efo.sssom.tsv	EFO:0004749	OBA:2045327	C-C motif chemokine 2 level	amount of C-C motif chemokine 2
oba-efo.sssom.tsv	EFO:0008142	OBA:2045329	granulocyte colony-stimulating factor level	amount of granulocyte colony-stimulating factor
oba-efo.sssom.tsv	EFO:0008197	OBA:2045330	killer cell immunoglobulin-like receptor 2DL4 level	amount of killer cell immunoglobulin-like receptor 2DL4
oba-efo.sssom.tsv	EFO:0008208	OBA:2045331	leukocyte immunoglobulin-like receptor subfamily B member 1 level	amount of leukocyte immunoglobulin-like receptor subfamily B member 1
oba-efo.sssom.tsv	EFO:0008209	OBA:2045332	leukocyte immunoglobulin-like receptor subfamily B member 2 level	amount of leukocyte immunoglobulin-like receptor subfamily B member 2
